timestamp_s,util_gpu,util_mem,mem_used_mb,mem_total_mb,power_w,temp_c
1765758047.8689313,100.0,51.80682949832728,19711.177976418596,24576.0,59.997638981610905,73.88775272752767
1765758048.0689313,96.34514407000813,63.73021738495063,17402.48534004099,24576.0,61.81163720395721,72.18644330863903
1765758048.2689314,92.2080001840751,57.272439455014315,19944.06290481929,24576.0,72.34756371285496,65.97880681112856
1765758048.4689314,89.26956597228543,65.3807853396377,20556.18649137275,24576.0,65.1834333116594,65.50875228013457
1765758048.6689315,90.25213249390019,65.9118310469889,16336.813178827666,24576.0,74.00081980344555,68.76478418537039
1765758048.8689315,96.27372832890039,64.4220755654834,18141.3014592979,24576.0,56.180756040309966,65.69103711064784
1765758049.0689316,91.1215587805188,66.22390718303522,18597.38019456111,24576.0,69.07304491914803,67.15713092001562
1765758049.2689316,90.61721654665843,54.79523164537956,20239.629788506456,24576.0,68.4430488535686,69.44493108536867
1765758049.4689317,94.10930493802104,58.871438494760405,16480.880205423447,24576.0,56.64587338143866,63.50774087956218
1765758049.6689317,96.38547478194826,64.01478479317005,18035.85880096735,24576.0,65.93381192085735,69.16476893488961
1765758049.8689318,100.0,67.5795449807791,17564.22698269926,24576.0,65.96277597838088,69.80242125909325
1765758050.0689318,91.65891696628177,66.82251486201687,17334.098838058537,24576.0,67.02869988253646,67.73058865342439
1765758050.2689319,92.15061187492948,55.03842665814961,18184.024903342353,24576.0,61.9358149063611,70.87883585626281
1765758050.468932,96.41687454057922,73.02257524627697,19381.5397973207,24576.0,67.28688359430502,66.51853791210054
1765758050.668932,92.99603652030392,64.56502468957281,19233.201016623843,24576.0,70.17057617546544,67.53828043911614
1765758050.868932,98.28914143488815,74.89466166088847,20111.927055133052,24576.0,59.98351306606125,63.05741504738307
1765758051.068932,93.06545374370863,69.28015843044017,17808.9737697917,24576.0,63.09211350602623,59.56406057657783
1765758051.268932,89.61182969837203,72.13019130785963,18621.334076303745,24576.0,68.06141921157277,65.09094197119038
1765758051.4689322,92.08130825658486,68.37646266344112,19101.55846245447,24576.0,60.49444930089954,68.08701121970434
1765758051.6689322,88.71233465139053,62.434290524038595,20270.336413285593,24576.0,69.38966952720708,68.28910266364761
1765758051.8689322,92.80391212481241,63.62651803526858,17305.021097219236,24576.0,65.09112357960585,67.39016106152532
1765758052.0689323,96.8503391948623,70.39543599051719,18461.217198125963,24576.0,69.60674185018742,67.40031931561501
1765758052.2689323,95.13281018992735,63.04101704565333,17211.647677213536,24576.0,49.932159626373085,67.91536425812436
